Split,Model,AUC_ROC,Accuracy,ConfusionMatrix
validation,QSVM,0.785373908940788,0.7927927927927928,"[[1125, 288], [11, 19]]"
validation,Neural Network,0.8765864590705356,0.9695079695079695,"[[1379, 34], [10, 20]]"
validation,Random Forest,0.8560981363529134,0.9521829521829522,"[[1354, 59], [10, 20]]"
validation,Support Vector Machine,0.8222458126916725,0.86001386001386,"[[1221, 192], [10, 20]]"
validation,Ensemble,0.8727765982543053,0.9695079695079695,"[[1379, 34], [10, 20]]"
test,QSVM,0.5108437314319667,0.7678883071553229,"[[438, 123], [10, 2]]"
test,Neural Network,0.720068330362448,0.9581151832460733,"[[546, 15], [9, 3]]"
test,Random Forest,0.6481729055258466,0.9493891797556719,"[[538, 23], [6, 6]]"
test,Support Vector Machine,0.7066250742721332,0.8603839441535777,"[[488, 73], [7, 5]]"
test,Ensemble,0.7574272133095662,0.9581151832460733,"[[546, 15], [9, 3]]"
